classs,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1,-0.329013,1.111466,9.943973,0.064446,-0.0759,-0.095295
1,-0.329013,1.111466,9.943973,0.064446,-0.0759,-0.095295
1,-0.329013,1.111466,9.943973,0.064446,-0.0759,-0.095295
1,-0.327817,1.121037,9.955936999999999,0.064599,-0.07773300000000001,-0.096364
1,-0.321835,1.126421,9.920044,0.064752,-0.07849600000000001,-0.09331
1,-0.329013,1.113859,9.93799,0.066432,-0.07635800000000001,-0.093615
1,-0.336192,1.1066799999999999,9.943973,0.063683,-0.080176,-0.094226
1,-0.333201,1.112662,9.927222,0.06627899999999999,-0.07422000000000001,-0.092699
1,-0.328415,1.109073,9.933205000000001,0.065057,-0.077274,-0.096059
1,-0.32004,1.11685,9.913464999999999,0.065515,-0.078802,-0.094684
1,-0.31704899999999997,1.1072790000000001,9.935,0.06521,-0.078649,-0.0956
1,-0.324826,1.112662,9.922438,0.064446,-0.078802,-0.093615
1,-0.325424,1.108475,9.914661,0.064294,-0.081551,-0.09331
1,-0.323031,1.110868,9.912867,0.064446,-0.078191,-0.094073
1,-0.328415,1.112662,9.924232,0.062766,-0.078649,-0.09376799999999999
1,-0.31764699999999996,1.104288,9.918849,0.065363,-0.07758,-0.09300399999999999
1,-0.326022,1.113261,9.92184,0.065821,-0.078649,-0.0956
1,-0.338584,1.1282159999999999,9.905089,0.067195,-0.076664,-0.096059
1,-0.329611,1.116252,9.918849,0.065515,-0.07926,-0.094684
1,-0.324227,1.11685,9.928419,0.063225,-0.079565,-0.096211
1,-0.315853,1.107877,9.912268,0.064294,-0.081856,-0.094226
1,-0.315254,1.122832,9.913464999999999,0.065973,-0.078954,-0.096822
1,-0.31346,1.121037,9.914063,0.06490399999999999,-0.080329,-0.097433
1,-0.327219,1.11027,9.919446,0.064294,-0.07758,-0.095295
1,-0.327219,1.1072790000000001,9.942178,0.065057,-0.079718,-0.096211
1,-0.326022,1.1180459999999999,9.929018,0.063225,-0.080176,-0.09575299999999999
1,-0.331406,1.11027,9.919446,0.065363,-0.07849600000000001,-0.09453099999999999
1,-0.332004,1.098306,9.92483,0.063988,-0.07926,-0.09651699999999999
1,-0.323031,1.1096709999999999,9.913464999999999,0.064294,-0.080176,-0.093615
1,-0.33379899999999996,1.112662,9.913464999999999,0.06521,-0.082009,-0.09437899999999999
1,-0.329013,1.115055,9.923036,0.06521,-0.07498400000000001,-0.09514199999999999
